query_sequence_id,target_sequence_id,sequence_identity,alignment_length,query_coverage,target_coverage,e_value,bit_score,query_assay_id,query_uniprot_id,query_sequence_sha256,query_sequence_length,target_assay_id,target_uniprot_id,target_sequence_sha256,target_sequence_length,qualifies_family_edge,query_family_id,target_family_id
assay019,assay020,1.0,286,1.0,1.0,4.4329999999999995e-190,578,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,True,sf_1ca89f8f1279,sf_1ca89f8f1279
assay019,assay021,1.0,286,1.0,1.0,4.4329999999999995e-190,578,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,c9c4ef97b0e66cb20b51ba90e5889a0467f8155ef356c7a5a74914f06b91d468,286,True,sf_1ca89f8f1279,sf_1ca89f8f1279
assay051,assay051,1.0,861,1.0,1.0,0.0,1760,ENV_HV1BR_Haddox_2016,ENV_HV1BR,be4105b663987f7c9629afca0ffd4078ab641940c8bfc4c05ba3253077ef892d,861,ENV_HV1BR_Haddox_2016,ENV_HV1BR,be4105b663987f7c9629afca0ffd4078ab641940c8bfc4c05ba3253077ef892d,861,True,sf_1bf288bd319a,sf_1bf288bd319a
assay051,assay123,0.736,861,1.0,0.997,0.0,1322,ENV_HV1BR_Haddox_2016,ENV_HV1BR,be4105b663987f7c9629afca0ffd4078ab641940c8bfc4c05ba3253077ef892d,861,Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,37e665d9f4d8b4c8f3454d90b01f8ec02b5cbf8d6e21fe24bd11ac381f59c098,860,True,sf_1bf288bd319a,sf_1bf288bd319a
assay051,assay001,0.728,861,1.0,1.0,0.0,1271,ENV_HV1BR_Haddox_2016,ENV_HV1BR,be4105b663987f7c9629afca0ffd4078ab641940c8bfc4c05ba3253077ef892d,861,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,589a3d75f09a5e1beeec23d1ed9eb52c3071477a0bb2299faba979098821ec0f,852,True,sf_1bf288bd319a,sf_1bf288bd319a
assay083,assay083,1.0,211,1.0,1.0,8.374e-137,420,MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,ae25940acad7662fe6055d8ad9219b7b2bc19a4e98fa934a31161c688f47fdfd,211,MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,ae25940acad7662fe6055d8ad9219b7b2bc19a4e98fa934a31161c688f47fdfd,211,True,sf_2185c9b20e14,sf_2185c9b20e14
assay100,assay100,1.0,393,1.0,1.0,7.054e-265,800,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay100,assay101,1.0,393,1.0,1.0,7.054e-265,800,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay100,assay102,1.0,393,1.0,1.0,7.054e-265,800,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay100,assay103,0.997,393,1.0,1.0,1.718e-263,796,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,P53_HUMAN_Kotler_2018,P53_HUMAN,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay132,assay132,1.0,54,1.0,1.0,1.893e-34,116,RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA,c9918fe88f285d300c5af6f2501cac3dbedf8d4571194ea8827674b1a852f5f9,54,RAD_ANTMA_Tsuboyama_2023_2CJJ,RAD_ANTMA,c9918fe88f285d300c5af6f2501cac3dbedf8d4571194ea8827674b1a852f5f9,54,True,sf_0eef6f01f081,sf_0eef6f01f081
assay164,assay163,1.0,1273,1.0,1.0,0.0,2620,SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,794d56c4e53ad15197d12fcee6c8231e888d2fc60728f4ef875561b80af2639d,1273,SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2,794d56c4e53ad15197d12fcee6c8231e888d2fc60728f4ef875561b80af2639d,1273,True,sf_761ae81d509c,sf_761ae81d509c
assay164,assay164,1.0,1273,1.0,1.0,0.0,2620,SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,794d56c4e53ad15197d12fcee6c8231e888d2fc60728f4ef875561b80af2639d,1273,SPIKE_SARS2_Starr_2020_expression,SPIKE_SARS2,794d56c4e53ad15197d12fcee6c8231e888d2fc60728f4ef875561b80af2639d,1273,True,sf_761ae81d509c,sf_761ae81d509c
assay005,assay004,1.0,565,1.0,1.0,0.0,1177,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,dd59e044f454224e885ae3cc5402958f0aa4956a721eb7cbf25a916b83bf2c7e,565,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,dd59e044f454224e885ae3cc5402958f0aa4956a721eb7cbf25a916b83bf2c7e,565,True,sf_97ae43962602,sf_97ae43962602
assay005,assay005,1.0,565,1.0,1.0,0.0,1177,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,dd59e044f454224e885ae3cc5402958f0aa4956a721eb7cbf25a916b83bf2c7e,565,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,dd59e044f454224e885ae3cc5402958f0aa4956a721eb7cbf25a916b83bf2c7e,565,True,sf_97ae43962602,sf_97ae43962602
assay005,assay023,0.424,547,0.968,0.952,3.87e-145,463,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,dd59e044f454224e885ae3cc5402958f0aa4956a721eb7cbf25a916b83bf2c7e,565,C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,3b98d980444bef3941477dad6f361a3b513d7ba1f3e882d09ed58ae03e1a7289,566,True,sf_97ae43962602,sf_97ae43962602
assay037,assay037,1.0,556,1.0,1.0,0.0,1155,CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,955c8406920379b400b21284c1ef1af93f34653cb8cc11fdf61e3aa84ef2b15e,556,CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,955c8406920379b400b21284c1ef1af93f34653cb8cc11fdf61e3aa84ef2b15e,556,True,sf_1ca77773c7d8,sf_1ca77773c7d8
assay069,assay069,1.0,498,1.0,1.0,0.0,1004,I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,047e14194ab8a5f678415efb1c98c92684e67e02626bf959de09f569c022f335,498,I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,047e14194ab8a5f678415efb1c98c92684e67e02626bf959de09f569c022f335,498,True,sf_ac5654d2afd9,sf_ac5654d2afd9
assay069,assay088,0.939,498,1.0,1.0,8.682e-316,953,I6TAH8_I68A0_Doud_2015,I6TAH8_I68A0,047e14194ab8a5f678415efb1c98c92684e67e02626bf959de09f569c022f335,498,NCAP_I34A1_Doud_2015,NCAP_I34A1,603391c59133e6e1484cd91f89d665933abd7ededbf3bc77bbd4bc6aa10094c9,498,True,sf_ac5654d2afd9,sf_ac5654d2afd9
assay101,assay100,1.0,393,1.0,1.0,7.054e-265,800,P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay101,assay101,1.0,393,1.0,1.0,7.054e-265,800,P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay101,assay102,1.0,393,1.0,1.0,7.054e-265,800,P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay101,assay103,0.997,393,1.0,1.0,1.718e-263,796,P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,P53_HUMAN_Kotler_2018,P53_HUMAN,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay133,assay133,1.0,189,1.0,1.0,7.605999999999999e-127,390,RASH_HUMAN_Bandaru_2017,RASH_HUMAN,d9360238882c010c8474ef1eba1d2532cd96e706c7d7f689ea2014f37f8f886c,189,RASH_HUMAN_Bandaru_2017,RASH_HUMAN,d9360238882c010c8474ef1eba1d2532cd96e706c7d7f689ea2014f37f8f886c,189,True,sf_550503ae0437,sf_550503ae0437
assay133,assay134,0.94,167,0.884,0.888,2.77e-104,325,RASH_HUMAN_Bandaru_2017,RASH_HUMAN,d9360238882c010c8474ef1eba1d2532cd96e706c7d7f689ea2014f37f8f886c,189,RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,9a0ed04ef46e15865a90f9dd0808d7d12c94746c66b0f41228aa2e62516ccbca,188,True,sf_550503ae0437,sf_550503ae0437
assay133,assay135,0.94,167,0.884,0.888,2.77e-104,325,RASH_HUMAN_Bandaru_2017,RASH_HUMAN,d9360238882c010c8474ef1eba1d2532cd96e706c7d7f689ea2014f37f8f886c,189,RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,9a0ed04ef46e15865a90f9dd0808d7d12c94746c66b0f41228aa2e62516ccbca,188,True,sf_550503ae0437,sf_550503ae0437
assay165,assay165,1.0,60,1.0,1.0,1.684e-38,128,SPTN1_CHICK_Tsuboyama_2023_1TUD,SPTN1_CHICK,5fe7d9ad6e17486d30f09a64b0e4317afde6f028bb243c91b9636b2becd865b2,60,SPTN1_CHICK_Tsuboyama_2023_1TUD,SPTN1_CHICK,5fe7d9ad6e17486d30f09a64b0e4317afde6f028bb243c91b9636b2becd865b2,60,True,sf_b0e1111705e5,sf_b0e1111705e5
assay006,assay006,1.0,759,1.0,1.0,0.0,1514,A4D664_9INFA_Soh_2019,A4D664_9INFA,40136fefba3e4d7f0518beb563d53d887d9d6f789a95f79b1aed68d23875b234,759,A4D664_9INFA_Soh_2019,A4D664_9INFA,40136fefba3e4d7f0518beb563d53d887d9d6f789a95f79b1aed68d23875b234,759,True,sf_c55b9af61b07,sf_c55b9af61b07
assay038,assay038,1.0,490,1.0,1.0,0.0,1010,CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,3f891626b6684fc43355f4146b0d0aad6273d9d39670b42340a49cff79fa8d24,490,CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,3f891626b6684fc43355f4146b0d0aad6273d9d39670b42340a49cff79fa8d24,490,True,sf_1d3a8e32222c,sf_1d3a8e32222c
assay038,assay039,1.0,490,1.0,1.0,0.0,1010,CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,3f891626b6684fc43355f4146b0d0aad6273d9d39670b42340a49cff79fa8d24,490,CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,3f891626b6684fc43355f4146b0d0aad6273d9d39670b42340a49cff79fa8d24,490,True,sf_1d3a8e32222c,sf_1d3a8e32222c
assay070,assay070,1.0,72,1.0,1.0,3.318e-45,148,IF1_ECOLI_Kelsic_2016,IF1_ECOLI,7693d167bfae34fc5345154a75e21dc6db164f9d80a2c79eb79999814eb0b62f,72,IF1_ECOLI_Kelsic_2016,IF1_ECOLI,7693d167bfae34fc5345154a75e21dc6db164f9d80a2c79eb79999814eb0b62f,72,True,sf_ab9383c4e9ad,sf_ab9383c4e9ad
assay102,assay100,1.0,393,1.0,1.0,7.054e-265,800,P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay102,assay101,1.0,393,1.0,1.0,7.054e-265,800,P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay102,assay102,1.0,393,1.0,1.0,7.054e-265,800,P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay102,assay103,0.997,393,1.0,1.0,1.718e-263,796,P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,P53_HUMAN_Kotler_2018,P53_HUMAN,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay134,assay134,1.0,188,1.0,1.0,2.3600000000000002e-122,377,RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,9a0ed04ef46e15865a90f9dd0808d7d12c94746c66b0f41228aa2e62516ccbca,188,RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,9a0ed04ef46e15865a90f9dd0808d7d12c94746c66b0f41228aa2e62516ccbca,188,True,sf_550503ae0437,sf_550503ae0437
assay134,assay135,1.0,188,1.0,1.0,2.3600000000000002e-122,377,RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,9a0ed04ef46e15865a90f9dd0808d7d12c94746c66b0f41228aa2e62516ccbca,188,RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,9a0ed04ef46e15865a90f9dd0808d7d12c94746c66b0f41228aa2e62516ccbca,188,True,sf_550503ae0437,sf_550503ae0437
assay134,assay133,0.856,188,0.995,0.995,2.404e-105,328,RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,9a0ed04ef46e15865a90f9dd0808d7d12c94746c66b0f41228aa2e62516ccbca,188,RASH_HUMAN_Bandaru_2017,RASH_HUMAN,d9360238882c010c8474ef1eba1d2532cd96e706c7d7f689ea2014f37f8f886c,189,True,sf_550503ae0437,sf_550503ae0437
assay166,assay166,1.0,40,1.0,1.0,1.353e-23,84,SQSTM_MOUSE_Tsuboyama_2023_2RRU,SQSTM_MOUSE,3ebd72dcf86882d7f69f633cd9431f6c598826aedce6bdf8eee3a13d436a3165,40,SQSTM_MOUSE_Tsuboyama_2023_2RRU,SQSTM_MOUSE,3ebd72dcf86882d7f69f633cd9431f6c598826aedce6bdf8eee3a13d436a3165,40,True,sf_fd3d638b0af8,sf_fd3d638b0af8
assay007,assay007,1.0,266,1.0,1.0,1.294e-176,538,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,0b0b51df4e62cf50009b178f94925d0a9b67a07a5aab4aab4b2858a07e9e4524,266,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,0b0b51df4e62cf50009b178f94925d0a9b67a07a5aab4aab4b2858a07e9e4524,266,True,sf_579275b2407d,sf_579275b2407d
assay039,assay038,1.0,490,1.0,1.0,0.0,1010,CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,3f891626b6684fc43355f4146b0d0aad6273d9d39670b42340a49cff79fa8d24,490,CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN,3f891626b6684fc43355f4146b0d0aad6273d9d39670b42340a49cff79fa8d24,490,True,sf_1d3a8e32222c,sf_1d3a8e32222c
assay039,assay039,1.0,490,1.0,1.0,0.0,1010,CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,3f891626b6684fc43355f4146b0d0aad6273d9d39670b42340a49cff79fa8d24,490,CP2C9_HUMAN_Amorosi_2021_activity,CP2C9_HUMAN,3f891626b6684fc43355f4146b0d0aad6273d9d39670b42340a49cff79fa8d24,490,True,sf_1d3a8e32222c,sf_1d3a8e32222c
assay071,assay071,1.0,71,1.0,1.0,8.666e-43,141,ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,3aa0de5eb3e584da4d5e8c760c2adcf342e07fdcf39a8735009630cb2c3a9c76,71,ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,3aa0de5eb3e584da4d5e8c760c2adcf342e07fdcf39a8735009630cb2c3a9c76,71,True,sf_8239bef973ac,sf_8239bef973ac
assay103,assay103,1.0,393,1.0,1.0,1.567e-264,799,P53_HUMAN_Kotler_2018,P53_HUMAN,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,393,P53_HUMAN_Kotler_2018,P53_HUMAN,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay103,assay100,0.997,393,1.0,1.0,7.735e-264,797,P53_HUMAN_Kotler_2018,P53_HUMAN,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,393,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay103,assay101,0.997,393,1.0,1.0,7.735e-264,797,P53_HUMAN_Kotler_2018,P53_HUMAN,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,393,P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay103,assay102,0.997,393,1.0,1.0,7.735e-264,797,P53_HUMAN_Kotler_2018,P53_HUMAN,e3ca60f18e3b6e98986ad6749215ee3b7a3abc09c191675213d1f243c035c9a3,393,P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,a5cec053cd1989b7676255fc9467b6ffbc3e531b62f1e40558510b55e0ef27d6,393,True,sf_a3526b63cbae,sf_a3526b63cbae
assay135,assay134,1.0,188,1.0,1.0,2.3600000000000002e-122,377,RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,9a0ed04ef46e15865a90f9dd0808d7d12c94746c66b0f41228aa2e62516ccbca,188,RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN,9a0ed04ef46e15865a90f9dd0808d7d12c94746c66b0f41228aa2e62516ccbca,188,True,sf_550503ae0437,sf_550503ae0437
assay135,assay135,1.0,188,1.0,1.0,2.3600000000000002e-122,377,RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,9a0ed04ef46e15865a90f9dd0808d7d12c94746c66b0f41228aa2e62516ccbca,188,RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,9a0ed04ef46e15865a90f9dd0808d7d12c94746c66b0f41228aa2e62516ccbca,188,True,sf_550503ae0437,sf_550503ae0437
assay135,assay133,0.856,188,0.995,0.995,2.404e-105,328,RASK_HUMAN_Weng_2022_binding-DARPin_K55,RASK_HUMAN,9a0ed04ef46e15865a90f9dd0808d7d12c94746c66b0f41228aa2e62516ccbca,188,RASH_HUMAN_Bandaru_2017,RASH_HUMAN,d9360238882c010c8474ef1eba1d2532cd96e706c7d7f689ea2014f37f8f886c,189,True,sf_550503ae0437,sf_550503ae0437
assay043,assay043,1.0,724,1.0,1.0,0.0,1468,DLG4_HUMAN_Faure_2021,DLG4_HUMAN,eaa4e0dc7e76ccef71fba73be558dd7ae0cd85fd3912a261f0311d3d647b0d6e,724,DLG4_HUMAN_Faure_2021,DLG4_HUMAN,eaa4e0dc7e76ccef71fba73be558dd7ae0cd85fd3912a261f0311d3d647b0d6e,724,True,sf_d98da1f7d712,sf_d98da1f7d712
assay043,assay044,0.998,724,1.0,1.0,0.0,1467,DLG4_HUMAN_Faure_2021,DLG4_HUMAN,eaa4e0dc7e76ccef71fba73be558dd7ae0cd85fd3912a261f0311d3d647b0d6e,724,DLG4_RAT_McLaughlin_2012,DLG4_RAT,58cc4abb44f5cbd0c63d04bec2fcfe7e309f069828cdb26eef533a05fa4b09b8,724,True,sf_d98da1f7d712,sf_d98da1f7d712
assay075,assay075,1.0,428,1.0,1.0,4.359e-288,869,KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE,88bfbcddd595e33da25f5ab224ce2b41cfaeacf488c7a7a51178d24d24e3b575,428,KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE,88bfbcddd595e33da25f5ab224ce2b41cfaeacf488c7a7a51178d24d24e3b575,428,True,sf_f35e7c0d2382,sf_f35e7c0d2382
assay075,assay076,1.0,428,1.0,1.0,4.359e-288,869,KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE,88bfbcddd595e33da25f5ab224ce2b41cfaeacf488c7a7a51178d24d24e3b575,428,KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2_MOUSE,88bfbcddd595e33da25f5ab224ce2b41cfaeacf488c7a7a51178d24d24e3b575,428,True,sf_f35e7c0d2382,sf_f35e7c0d2382
assay107,assay107,1.0,716,1.0,1.0,0.0,1473,PA_I34A1_Wu_2015,PA_I34A1,4b2e387fe633b9aca5c147f76b837250c8b357b23e2879ba51ab129f57dae8f9,716,PA_I34A1_Wu_2015,PA_I34A1,4b2e387fe633b9aca5c147f76b837250c8b357b23e2879ba51ab129f57dae8f9,716,True,sf_ec35c0fe8f0c,sf_ec35c0fe8f0c
assay139,assay139,1.0,44,1.0,1.0,2.6800000000000004e-26,92,RD23A_HUMAN_Tsuboyama_2023_1IFY,RD23A_HUMAN,563296d6558ac2ef2c01fa9956b485a1c16ed10d686668d95d556fe332243691,44,RD23A_HUMAN_Tsuboyama_2023_1IFY,RD23A_HUMAN,563296d6558ac2ef2c01fa9956b485a1c16ed10d686668d95d556fe332243691,44,True,sf_3998cbaed1a7,sf_3998cbaed1a7
assay171,assay169,1.0,536,1.0,1.0,0.0,1109,SRC_HUMAN_Nguyen_2022,SRC_HUMAN,bfb0c691493b552212f52a3e68ec9d6c2e67dc37339f19b6e71c22fd202292f8,536,SRC_HUMAN_Ahler_2019,SRC_HUMAN,bfb0c691493b552212f52a3e68ec9d6c2e67dc37339f19b6e71c22fd202292f8,536,True,sf_c38d9b4005f8,sf_c38d9b4005f8
assay171,assay170,1.0,536,1.0,1.0,0.0,1109,SRC_HUMAN_Nguyen_2022,SRC_HUMAN,bfb0c691493b552212f52a3e68ec9d6c2e67dc37339f19b6e71c22fd202292f8,536,SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN,bfb0c691493b552212f52a3e68ec9d6c2e67dc37339f19b6e71c22fd202292f8,536,True,sf_c38d9b4005f8,sf_c38d9b4005f8
assay171,assay171,1.0,536,1.0,1.0,0.0,1109,SRC_HUMAN_Nguyen_2022,SRC_HUMAN,bfb0c691493b552212f52a3e68ec9d6c2e67dc37339f19b6e71c22fd202292f8,536,SRC_HUMAN_Nguyen_2022,SRC_HUMAN,bfb0c691493b552212f52a3e68ec9d6c2e67dc37339f19b6e71c22fd202292f8,536,True,sf_c38d9b4005f8,sf_c38d9b4005f8
assay171,assay014,0.31,460,0.696,0.734,4.778e-60,212,SRC_HUMAN_Nguyen_2022,SRC_HUMAN,bfb0c691493b552212f52a3e68ec9d6c2e67dc37339f19b6e71c22fd202292f8,536,ANCSZ_Hobbs_2022,ANCSZ,f5f3ced5cb23db1b5a2e54d7ee2bc87cb6e092f4df3472b987697b0c8fffdc3e,627,False,sf_c38d9b4005f8,sf_88339869d8cb
assay012,assay012,1.0,47,1.0,1.0,1.1270000000000001e-28,99,AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,ba8bd075361c9c8ffd9036a5afc650f92bfe2bc4f373e67d6c3c0927e49159d6,47,AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,ba8bd075361c9c8ffd9036a5afc650f92bfe2bc4f373e67d6c3c0927e49159d6,47,True,sf_cf49a18e12cd,sf_cf49a18e12cd
assay044,assay044,1.0,724,1.0,1.0,0.0,1469,DLG4_RAT_McLaughlin_2012,DLG4_RAT,58cc4abb44f5cbd0c63d04bec2fcfe7e309f069828cdb26eef533a05fa4b09b8,724,DLG4_RAT_McLaughlin_2012,DLG4_RAT,58cc4abb44f5cbd0c63d04bec2fcfe7e309f069828cdb26eef533a05fa4b09b8,724,True,sf_d98da1f7d712,sf_d98da1f7d712
assay044,assay043,0.998,724,1.0,1.0,0.0,1466,DLG4_RAT_McLaughlin_2012,DLG4_RAT,58cc4abb44f5cbd0c63d04bec2fcfe7e309f069828cdb26eef533a05fa4b09b8,724,DLG4_HUMAN_Faure_2021,DLG4_HUMAN,eaa4e0dc7e76ccef71fba73be558dd7ae0cd85fd3912a261f0311d3d647b0d6e,724,True,sf_d98da1f7d712,sf_d98da1f7d712
assay076,assay075,1.0,428,1.0,1.0,4.359e-288,869,KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2_MOUSE,88bfbcddd595e33da25f5ab224ce2b41cfaeacf488c7a7a51178d24d24e3b575,428,KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE,88bfbcddd595e33da25f5ab224ce2b41cfaeacf488c7a7a51178d24d24e3b575,428,True,sf_f35e7c0d2382,sf_f35e7c0d2382
